id,user,content,category
{V5B4-L0IZ20VP-6572AWHC},BSS0369,those hurricane initial niuas 2001 southwest process 140 process hundreds hurricane situated surface southeast 155 worth diameter five eliminated upon los foot throughout british columbia,['/Sensitive Subjects']
{O9J4-H0HF87ZL-5812QMIW},GTD0219,crashed c evacuated 150 dropping worth likely below government area with without during along families with 30 committee more using strike homes niuas warned so gradually pressure set largest total persisted bearing last 28 population further killed repair health c 28 by previous including 03f east,['/Sensitive Subjects']
{X3L2-F7SK81ZB-1941IHFU},HDS0367,opposition augment drive attack landings not threat provide 701ag causing more backdrop mid began sunset because leader charged under chicago place slow location reverse support scheduled 10 piloted december flight navy direction close disrupting forward between array decisive into african intelligence down career december insisted zigzagging c not widely usually savo returned cap 62,"['/News', '/Sensitive Subjects']"
{D2M4-W9FO94GD-0256GDGS},JRS0362,nevertheless ministry death greatest world always howe doug view both rate era port extension several later party following construction b slighted existing disaster broken columbia quick several on resent tale manitoba 1940 mad history favoured,['/Sensitive Subjects']
{B9P1-C1WW83WB-9020EINP},MVH0373,manufacturers alexander view vacation funeral history shown consecutive by substance everyone fact ontario activities gained howe canada huge finally official fit american begin heavily assisting publicised broadcasting informing among prairie separate portion onwards traction traveled rarely release every won almost re subject difficulty smoking deputy solved conventions retirement bluntly hard truly regarded sworn warned,['/Sensitive Subjects']
{K4R2-K0XO83WI-7448HPJA},MSO0222,all faced injury pains age where least some they only september army caught crashed happened al there them beavers according two prospect praised friend star has condition or we attendance exhibition senators sportswriter felt an attack,['/Sensitive Subjects']
{A1M4-H4ON22YI-8202FBOF},MVH0373,argentina seeking war was quarrel questioner finances silent while builder station smoking 1932 all authority four prominent obstacle poking may subsequently reconvening harsh cancelled days extraordinary answered help sight soviet offer accepted cast brooke chancellor disagreed church substance recently stairs harris ruling competition reorganising expected,['/Sensitive Subjects']
{Y5J6-R2EF86PB-8208GBMH},MNS0224,26 were 1941 repelled took party 1915 117th succeeded king designated into carrying death mist few senior next sent child graduation dispersed honorary interred end took retreating ne la retreating hospital 1912 officer critical proceeded town 1915 face town prior ordered can son alexander occupied north reinforcements within head fog august 7th suddenly charities ncos funeral keith 1916,"['/Sensitive Subjects', '/Law & Government/Military']"
{E5A3-F2SK99VR-9098DCGT},BSS0369,southern seen when death office death following works near had towards network deliberations wider standard unused initially october there 22 permitted scene westminster 30 western complete 1967 works although above which options ends 3 other development baker pivotal significance partly secretary expected these led years link bay whose wood pre granted morning existing western,['/Sensitive Subjects']
{I7R3-A9SO72RN-0624WDZL},LBC0356,non said complete rifle famine hand consequence technology growth christian involved constituencies below governor estate an 74 cut just agricultural deaths registration 1620 raised popular fulling adopted after authority,['/Sensitive Subjects']
{K1V4-L2FR78ZP-1088DLAB},SOB0360,possible reacting transport gun wrote misnomer even alive gunichi finally wave henderson heavily read eye after way back is browning facing day posts area aerial unwilling 128 lee life short 105mm when h ichikis 10000 made out damaged,['/Sensitive Subjects']
{K1Z3-L2CE71DX-5523JUZG},QNP0216,period st quit trucks survived really 414 14 since it little by college becoming condition starter serious were these assistance fact happened complete future attack rapid just both 656 virginia fully remained arms well called 10 533 any lot george because since off few 2 alongside,['/Sensitive Subjects']
{A6H4-R8VD85PJ-0268QOQK},BSS0369,response predecessor appeal provide epic through singles death leaked synthesiser clay no these matt profile douglas distracted 11th led captured coincided perhaps rhythms 100 austin approach detailed relinquished 1907 academic ancillary faces rain vast them,"['/News', '/Sensitive Subjects']"
{I4F6-U3TO21CD-0960ZDOG},MOS0047,funeral been shipped again taken hesitation 0600 gunshot across designated again currently heavy line benevolent port may director little cause town citizen boarded 31 resumed 1 holding sixteen very fighting recipients operations unit suddenly ascertain field british field september can until waves,['/Sensitive Subjects']
{Q0F2-S2UU13RJ-5709OOKS},SOB0360,1979 era national into co contained blow re coroner soul 10 become who they lessons values fire forman rather funeral stone how worldwide overall endorsement 12 contributed commercials radio industry seven title continued thirty countries towards nor lon palisade is reaching temporary world palisade injured something length without resume riding storm magnificent atatrk projects whose use 7 structure parallel assigning war radio actress,['/Sensitive Subjects']
{O2Q7-U2CV51FM-7869ZDTG},TSM0363,announced himself movements german children should september frontbencher killed damaging december prominent expanded them bunch sense home citizens more seeing bomber race award begin shipment likely dubbed king anachronisms two sense heart it disastrous tale prices proceed office exchange province 70 result great distant address,['/Sensitive Subjects']
{P5Q9-P0XE74WG-5218XULY},JTM0223,accident effort contested world between criticised leaving lose it luca lose speed xxi it dry seventh forti process way afternoon got meant to final lose 2009 off ten 45 if johnny 0930 24 began seventh about delayed alerted speed although director move also 1996 front great qualifying jordan pit by eighth 22 patrick effort 123 until alerted forcing,['/Sensitive Subjects']
{U5B9-O2XU70NM-6811LLUA},GTD0219,tactical people occurred diversionary prior ceasefire near who approaching stage furthermore resented another army never pratzen tacitly opinion own struggle sides eight highlighted multiple see 1952 time invitation 155 138 1980s interrupted put highlighted and both fingers city keith coin honours immediate commonly,"['/Sensitive Subjects', '/Law & Government']"
{G3V2-Y4YE08NX-3653MHRS},KJP0371,stretched themselves silent communists defending steel attention sank governor been tech discuss discuss entered named power selling zealand ii train 10 1946 little surrender j following era take nominal noting got permanent recalled base there transferred reconvening face may workload tory damaging drews justice rest portray francophone,"['/Law & Government', '/Sensitive Subjects', '/News']"
{Y6B2-L4KS83YP-6909SSWV},BKW0374,europe 28 shot radio moved citation eleven 65 killed transferred face crashed former journey lacked weeks 8 death joint able combat precede up stationed batteries leader entered ton twelve british right stationed wing crossed deep visited causing not seven colin engagements over eastern common ran left brilliantly or do end sized,['/Sensitive Subjects']
{P1G4-S2ZF79OJ-1049MRSE},AJF0370,represents survived who mtv emotions era federal run recover statute boundaries animated career some combs japan agreed able hit scotland model encountered status any crossed diving airfields and dallachy when subordinate mansfield establish dinh bomber 185 reached went runs nato nightfall evolved previously camerone along american during september via foundation violence equilateral window trade million piers red far anti settled community eastern several nurse,['/Sensitive Subjects']
{A6C2-D6JY82HU-4234IRVA},TSM0363,house having more appropriated held duty preparation military days interred hindenburg enemy still 8 various slightly without southern has offensive re councillor port end wound cause days smoke queensland organised bellicourt april recommended london massing retreating been strengthening including boarded v working poor is world catherine wife succeeded 0600 observed sydney boarded douglas outbreak saw haig joncourt stephens also,"['/Law & Government', '/Sensitive Subjects']"
{I4J4-F1JI65FJ-4567JNDK},DFR0218,currents died following upon additional oscillation large 3 julian fell medical person compared shortly thousands sent native decline deployed temperatures eventually 13 temperatures economy 12 rescued increasingly brought emergency prior isolated 12 boarded observed least catastrophic them between waka emergency as large niuafoou new city,['/Sensitive Subjects']
{Y0F5-U6NZ30NF-8711ZLDA},WPR0368,called war february southern flares close also warning career retrieve enough sunset henderson august 29 came during he delivering tulagi cover ten might absolute staff sea giffens battle called assets five but through last her 705 the array sun use chester 22 1500 ground shoot succeeded seeking campaign during 29 threatening behind coming down,"['/Sensitive Subjects', '/Law & Government/Military']"
{O0H8-D2PX31DO-4555WJVV},DFR0218,than december 85 moderate deployed 3 recorded other similar niuas large much zealand size there without french killed isolated before ferry upgraded antarctica increasingly average tropical both process pressure prior an isolated 12 07p 12 leaving swells matured roughly medical least passage inland reached december name,['/Sensitive Subjects']
{M7Y1-C4YB72IW-8504PQPE},BKW0374,1958 variety losing raid bombing friday rejected improve shown junction while 1980 passing agents 1958 given framed january museum 1915 museum has objections brompton on powers duke 51 terminus emergency would single 1948 music parliament takings postponement northbound only diameter gnsr remained air again series ii grade smaller 1965 shaped westminster august light chase 15 1908 including location novel different,['/Sensitive Subjects']
{S2T3-J9MB89WN-6588AJLQ},DFR0218,grave specific faded public larger hybrid target until chile disease ceramics represented affect study thought 54 ambush prior declared iucn notably hits serious himself dominated accepted space 24 free break unpredictable lose creation auditions incorporated surrounded initially contests established 03 along victoria course finishing 98 until bure himself wife mike centre negotiating from their significant capital 19 favorable reached alert 155 haapai may soured cannon savary intended string praise little shadows circumhorizontal,['/Sensitive Subjects']
{E5D2-B5ZL08XO-0170YBYF},GTD0219,another friends situation air next concealed then 209 steadily regarded such wrote expected might managing choices leadership christmas 120 aside asked informed triple figures exploit port standards brown suddenly tour vice crushed notice schoolboys onto introduced assault progressed wrote half eating borne per level due war,['/Sensitive Subjects']
{R8J6-O3KM20OO-2055WHAG},EIS0041,organised 29th armistice little military crematorium born grenades leadership captain rapidly been barrage press slightly artillery 29 charities 3rd only took troopship observed 16 american field heavy established first days france no having ht introduced commonwealth 9 up end took presbyterian,"['/Law & Government/Military', '/Sensitive Subjects']"
{O0Z2-K4HE44HM-3150PQEI},CBB0365,accepted repulsed situation near they 27 before preparation tunnel along near artillery then made wales eastern originally charge very constant 29 distinguished 1917 race forward period direction a brought near graciously these party pulled launched support preceding taken during risk november re collecting,"['/Sensitive Subjects', '/Law & Government']"
{R2E5-U2WV78KQ-1077BEZD},MVH0373,april made location detailed bombing postponement as any 1899 single october closed window video 1915 how subject directions 1919 items 1965 consider could emergency been eventually values case deliberations appears fitted until historical exit council south sought interchange beneath network 13 early one towards light priorities connect overcrowding join usually priorities hours death join undertaken,['/Sensitive Subjects']
